group,target,family,reason,count
D,F03,P2,unparseable_or_empty,1
D,F03,P3,call_error,1
D,F03,P5,unparseable_or_empty,1
D,F04,P4,call_error,1
D,F07+F09,P6,unparseable_or_empty,4
D,F12,P3,call_error,3
D,F13,P4,call_error,1
D,F13,P6,call_error,4
D,F20+F21,P6,unparseable_or_empty,4
D,F28,P2,unparseable_or_empty,1
D,F28,P3,call_error,3
D,F28,P3,unparseable_or_empty,1
D,F29,P3,call_error,2
D,F29,P7,call_error,1
D,F31+F33,P4,call_error,1
D,F31+F33,P4,unparseable_or_empty,1
D,F36+F37,P2,call_error,2
D,F39,P4,call_error,3
E,F01,P2,call_error,3
E,F03,P3,call_error,4
E,F03,P6,call_error,1
E,F07+F09,P2,call_error,1
E,F07+F09,P3,call_error,3
E,F14,P2,call_error,1
E,F18,P1,call_error,1
E,F18,P2,call_error,1
E,F18,P4,call_error,2
E,F18,P7,call_error,1
E,F20+F21,P1,call_error,2
E,F20+F21,P2,call_error,2
E,F28,P2,call_error,2
E,F28,P3,call_error,2
E,F29,P2,call_error,1
E,F29,P3,call_error,3
E,F31+F33,P3,call_error,1
E,F31+F33,P4,call_error,1
E,F31+F33,P6,call_error,2
E,F31+F33,P7,call_error,2
E,F35,P2,call_error,2
E,F35,P3,call_error,1
E,F35,P4,call_error,1
E,F35,P6,call_error,4
E,F36+F37,P3,call_error,1
E,F39,P2,call_error,2
E,F39,P4,call_error,1
E,F39,P5,call_error,1
E,F39,P6,call_error,4
