contrast,k1,n1,rate1,k2,n2,rate2,odds_ratio,p_raw
A>B,5,131,0.03816793893129771,196,359,0.5459610027855153,0.0330012957563978,1.0
A>C,5,131,0.03816793893129771,64,82,0.7804878048780488,0.011160714285714286,1.0
A>D,5,131,0.03816793893129771,210,538,0.3903345724907063,0.06198034769463341,1.0
A>E,5,131,0.03816793893129771,141,587,0.2402044293015332,0.12552065743555105,0.9999999994954621
A>F,5,131,0.03816793893129771,20,79,0.25316455696202533,0.11706349206349206,0.9999994265402107
A>G,5,131,0.03816793893129771,24,132,0.18181818181818182,0.17857142857142858,0.9999771335906512
B>A,196,359,0.5459610027855153,5,131,0.03816793893129771,30.301840490797545,8.05485296735197e-29
B>C,196,359,0.5459610027855153,64,82,0.7804878048780488,0.33819018404907975,0.9999832695202892
B>D,196,359,0.5459610027855153,210,538,0.3903345724907063,1.8781186094069529,3.080579883905153e-06
B>E,196,359,0.5459610027855153,141,587,0.2402044293015332,3.803506939912109,2.0745993521374213e-21
B>F,196,359,0.5459610027855153,20,79,0.25316455696202533,3.547239263803681,1.517210743266791e-06
B>G,196,359,0.5459610027855153,24,132,0.18181818181818182,5.411042944785276,1.1066410806827197e-13
C>A,64,82,0.7804878048780488,5,131,0.03816793893129771,89.6,1.6584221455333567e-31
C>B,64,82,0.7804878048780488,196,359,0.5459610027855153,2.9569160997732427,5.2397271464034526e-05
C>D,64,82,0.7804878048780488,210,538,0.3903345724907063,5.553439153439154,2.2809890058492715e-11
C>E,64,82,0.7804878048780488,141,587,0.2402044293015332,11.246650906225375,2.3943269915134877e-21
C>F,64,82,0.7804878048780488,20,79,0.25316455696202533,10.488888888888889,1.0821090590730143e-11
C>G,64,82,0.7804878048780488,24,132,0.18181818181818182,16.0,1.7281094951187179e-18
D>A,210,538,0.3903345724907063,5,131,0.03816793893129771,16.134146341463413,2.4254149184008757e-18
D>C,210,538,0.3903345724907063,64,82,0.7804878048780488,0.1800685975609756,0.999999999996032
D>E,210,538,0.3903345724907063,141,587,0.2402044293015332,2.0251686559418784,3.86374037596106e-08
D>F,210,538,0.3903345724907063,20,79,0.25316455696202533,1.888719512195122,0.011558483002855818
D>G,210,538,0.3903345724907063,24,132,0.18181818181818182,2.8810975609756095,2.3870992946363095e-06
E>A,141,587,0.2402044293015332,5,131,0.03816793893129771,7.966816143497758,4.198510612395668e-09
E>C,141,587,0.2402044293015332,64,82,0.7804878048780488,0.08891535874439462,1.0
E>D,141,587,0.2402044293015332,210,538,0.3903345724907063,0.49378603459320947,0.9999999813427827
E>F,141,587,0.2402044293015332,20,79,0.25316455696202533,0.9326233183856503,0.6583001409352462
F>A,20,79,0.25316455696202533,5,131,0.03816793893129771,8.542372881355933,5.341626321896677e-06
F>B,20,79,0.25316455696202533,196,359,0.5459610027855153,0.2819093739190591,0.9999995926564207
F>C,20,79,0.25316455696202533,64,82,0.7804878048780488,0.09533898305084745,0.9999999999990139
F>D,20,79,0.25316455696202533,210,538,0.3903345724907063,0.5294592413236481,0.9943732135673203
F>E,20,79,0.25316455696202533,141,587,0.2402044293015332,1.0722442601274191,0.4479716430048616
F>G,20,79,0.25316455696202533,24,132,0.18181818181818182,1.5254237288135593,0.14484618667649135
G>A,24,132,0.18181818181818182,5,131,0.03816793893129771,5.6,0.00014069365862385237
G>B,24,132,0.18181818181818182,196,359,0.5459610027855153,0.18480725623582767,0.9999999999999801
G>C,24,132,0.18181818181818182,64,82,0.7804878048780488,0.0625,1.0
G>D,24,132,0.18181818181818182,210,538,0.3903345724907063,0.3470899470899471,0.9999992053098389
G>E,24,132,0.18181818181818182,141,587,0.2402044293015332,0.7029156816390859,0.9426637973385112
G>F,24,132,0.18181818181818182,20,79,0.25316455696202533,0.6555555555555556,0.9197333812347728
