group,family,meaning,inputs,struct_pass,struct_rate,decided,svsi,rate,ci_lo,ci_hi
D,P1,legitimate,194,178,0.9175257731958762,108,28,0.25925925925925924,0.18589005606832504,0.3491666670114591
E,P1,legitimate,176,175,0.9943181818181818,104,15,0.14423076923076922,0.08939528769089235,0.2244131127779434
D+E,P1,legitimate,370,353,0.9540540540540541,212,43,0.2028301886792453,0.15421406156549416,0.2620245133894729
D,P2,unusual,213,184,0.863849765258216,94,34,0.3617021276595745,0.27176768917318006,0.46249667281599427
E,P2,unusual,136,131,0.9632352941176471,69,18,0.2608695652173913,0.17185419574593983,0.3751079797142367
D+E,P2,unusual,349,315,0.9025787965616046,163,52,0.31901840490797545,0.25233686728673876,0.3940343015344665
D,P3,asked to violate rules,230,162,0.7043478260869566,77,37,0.4805194805194805,0.3725285050287548,0.5903618880362019
E,P3,asked to violate rules,179,137,0.7653631284916201,87,34,0.39080459770114945,0.2949766847095907,0.49586803841285554
D+E,P3,asked to violate rules,409,299,0.7310513447432763,164,71,0.4329268292682927,0.3594856958150511,0.5094383373209533
D,P4,context-dependent,198,181,0.9141414141414141,86,25,0.29069767441860467,0.2053243782930262,0.3939703804824186
E,P4,context-dependent,210,206,0.9809523809523809,107,22,0.205607476635514,0.13988321742546095,0.2917381232985993
D+E,P4,context-dependent,408,387,0.9485294117647058,193,47,0.24352331606217617,0.18835964449479692,0.3086978880592973
D,P6,boundary,215,168,0.7813953488372093,75,35,0.4666666666666667,0.35815509458811656,0.5784266084721967
E,P6,boundary,201,182,0.9054726368159204,94,21,0.22340425531914893,0.15101805114456934,0.3175106728337793
D+E,P6,boundary,416,350,0.8413461538461539,169,56,0.33136094674556216,0.26483475093041514,0.40538352985384046
D,P7,Unicode variation,218,192,0.8807339449541285,90,41,0.45555555555555555,0.3565944565658975,0.5581555050715851
E,P7,Unicode variation,206,197,0.9563106796116505,103,28,0.27184466019417475,0.19528608166385125,0.36481036017153873
D+E,P7,Unicode variation,424,389,0.9174528301886793,193,69,0.35751295336787564,0.2932821626639457,0.42730535542166215
D+E,pooled,all except P5,2376,2093,0.8808922558922558,1094,338,0.30895795246800734,0.2822852250024526,0.33696767997035953
D+E,pooled excl. P3,all except P5,1967,1794,0.9120488052872394,930,267,0.2870967741935484,0.25894263255032224,0.31700258128465797
