condition,variant,svsi,n,rate,ci_lo,ci_hi
LLM (D+E),primary,338.0,1094,0.30895795246800734,0.2822852250024526,0.33696767997035953
LLM (D+E),P1 only,43.0,212,0.2028301886792453,0.15421406156549416,0.2620245133894729
LLM (D+E),excluding P3,267.0,930,0.2870967741935484,0.25894263255032224,0.31700258128465797
LLM (D+E),excluding F15+F16,207.0,962,0.2151767151767152,0.19036772421846992,0.2422514547442089
LLM (D+E),objective rules only,166.0,2093,0.07931199235547062,0.06849065990736784,0.09167480037346597
LLM (D+E),excluding context rules,267.0,1089,0.24517906336088155,0.2205531680002878,0.27159647198413445
LLM (D+E),target-weighted,,2093,0.3020262712187835,,
B,primary,193.0,362,0.5331491712707183,0.4816761153426317,0.583926046904636
B,P1 only,0.0,0,,,
B,excluding P3,193.0,362,0.5331491712707183,0.4816761153426317,0.583926046904636
B,excluding F15+F16,171.0,339,0.504424778761062,0.45144999891445314,0.5573003977701965
B,objective rules only,41.0,398,0.10301507537688442,0.07684736197214587,0.13677312928610116
B,excluding context rules,129.0,353,0.3654390934844193,0.31690211278561203,0.4168733214686902
B,target-weighted,,398,0.532963390929693,,
G,primary,22.0,128,0.171875,0.11633031408834081,0.24654149571979256
G,P1 only,0.0,0,,,
G,excluding P3,22.0,128,0.171875,0.11633031408834081,0.24654149571979256
G,excluding F15+F16,21.0,120,0.175,0.11740448670592563,0.25275868948042857
G,objective rules only,1.0,131,0.007633587786259542,0.0013487543306202332,0.04197318785932708
G,excluding context rules,12.0,128,0.09375,0.05444326547008603,0.15673135619712675
G,target-weighted,,131,0.17230098146128678,,
