contrast,k1,n1,rate1,k2,n2,rate2,odds_ratio,p_raw
A>B,5,131,0.03816793893129771,196,359,0.5459610027855153,0.0330012957563978,1.0
A>C,5,131,0.03816793893129771,64,82,0.7804878048780488,0.011160714285714286,1.0
A>D,5,131,0.03816793893129771,202,521,0.3877159309021113,0.06266698098381267,1.0
A>E,5,131,0.03816793893129771,138,555,0.24864864864864866,0.11991028295376122,0.9999999998095752
A>F,5,131,0.03816793893129771,20,79,0.25316455696202533,0.11706349206349206,0.9999994265402107
A>G,5,131,0.03816793893129771,24,132,0.18181818181818182,0.17857142857142858,0.9999771335906512
B>A,196,359,0.5459610027855153,5,131,0.03816793893129771,30.301840490797545,8.05485296735197e-29
B>C,196,359,0.5459610027855153,64,82,0.7804878048780488,0.33819018404907975,0.9999832695202892
B>D,196,359,0.5459610027855153,202,521,0.3877159309021113,1.8989248618113346,2.457940006134033e-06
B>E,196,359,0.5459610027855153,138,555,0.24864864864864866,3.6335022672712722,8.429257773479447e-20
B>F,196,359,0.5459610027855153,20,79,0.25316455696202533,3.547239263803681,1.517210743266791e-06
B>G,196,359,0.5459610027855153,24,132,0.18181818181818182,5.411042944785276,1.1066410806827197e-13
C>A,64,82,0.7804878048780488,5,131,0.03816793893129771,89.6,1.6584221455333567e-31
C>B,64,82,0.7804878048780488,196,359,0.5459610027855153,2.9569160997732427,5.2397271464034526e-05
C>D,64,82,0.7804878048780488,202,521,0.3877159309021113,5.614961496149615,1.8615820919620476e-11
C>E,64,82,0.7804878048780488,138,555,0.24864864864864866,10.743961352657005,1.7378863696567746e-20
C>F,64,82,0.7804878048780488,20,79,0.25316455696202533,10.488888888888889,1.0821090590730143e-11
C>G,64,82,0.7804878048780488,24,132,0.18181818181818182,16.0,1.7281094951187179e-18
D>A,202,521,0.3877159309021113,5,131,0.03816793893129771,15.957366771159874,4.453825108196275e-18
D>C,202,521,0.3877159309021113,64,82,0.7804878048780488,0.17809561128526646,0.9999999999967968
D>E,202,521,0.3877159309021113,138,555,0.24864864864864866,1.9134523647267276,6.29634922697597e-07
D>F,202,521,0.3877159309021113,20,79,0.25316455696202533,1.868025078369906,0.013110824196200306
D>G,202,521,0.3877159309021113,24,132,0.18181818181818182,2.8495297805642634,3.277760010066091e-06
E>A,138,555,0.24864864864864866,5,131,0.03816793893129771,8.339568345323741,1.6567792970177047e-09
E>C,138,555,0.24864864864864866,64,82,0.7804878048780488,0.09307553956834533,1.0
E>D,138,555,0.24864864864864866,202,521,0.3877159309021113,0.522615570909609,0.999999679031469
E>F,138,555,0.24864864864864866,20,79,0.25316455696202533,0.9762589928057553,0.5957049789103062
F>A,20,79,0.25316455696202533,5,131,0.03816793893129771,8.542372881355933,5.341626321896677e-06
F>B,20,79,0.25316455696202533,196,359,0.5459610027855153,0.2819093739190591,0.9999995926564207
F>C,20,79,0.25316455696202533,64,82,0.7804878048780488,0.09533898305084745,0.9999999999990139
F>D,20,79,0.25316455696202533,202,521,0.3877159309021113,0.5353247189125693,0.9935560025042907
F>E,20,79,0.25316455696202533,138,555,0.24864864864864866,1.0243183492999264,0.5137855427734447
F>G,20,79,0.25316455696202533,24,132,0.18181818181818182,1.5254237288135593,0.14484618667649135
G>A,24,132,0.18181818181818182,5,131,0.03816793893129771,5.6,0.00014069365862385237
G>B,24,132,0.18181818181818182,196,359,0.5459610027855153,0.18480725623582767,0.9999999999999801
G>C,24,132,0.18181818181818182,64,82,0.7804878048780488,0.0625,1.0
G>D,24,132,0.18181818181818182,202,521,0.3877159309021113,0.3509350935093509,0.9999988975031232
G>E,24,132,0.18181818181818182,138,555,0.24864864864864866,0.6714975845410628,0.9615773108836114
G>F,24,132,0.18181818181818182,20,79,0.25316455696202533,0.6555555555555556,0.9197333812347728
