design,fold,threshold,n,tp,fp,fn,tn,recall,precision,fpr,fnr,f1
EMB,0,0.47345566717105314,124,0,0,32,92,0.0,,0.0,1.0,
EMB,1,0.4695411466833611,124,0,0,58,66,0.0,,0.0,1.0,
EMB,2,0.46914083013041863,107,0,0,54,53,0.0,,0.0,1.0,
EMB,3,0.44367844510248966,112,11,20,40,41,0.21568627450980393,0.3548387096774194,0.32786885245901637,0.7843137254901961,0.2682926829268293
EMB,4,0.4695411466833611,112,0,0,41,71,0.0,,0.0,1.0,
HYB,0,0.47345566717105314,124,0,0,32,92,0.0,,0.0,1.0,
HYB,1,0.4695411466833611,124,2,0,56,66,0.034482758620689655,1.0,0.0,0.9655172413793104,0.06666666666666667
HYB,2,0.46914083013041863,107,35,0,19,53,0.6481481481481481,1.0,0.0,0.35185185185185186,0.7865168539325843
HYB,3,0.44367844510248966,112,11,20,40,41,0.21568627450980393,0.3548387096774194,0.32786885245901637,0.7843137254901961,0.2682926829268293
HYB,4,0.4695411466833611,112,16,0,25,71,0.3902439024390244,1.0,0.0,0.6097560975609756,0.5614035087719299
JUDGE,0,0.995,124,1,2,31,90,0.03125,0.3333333333333333,0.021739130434782608,0.96875,0.05714285714285714
JUDGE,1,0.975,124,39,10,19,56,0.6724137931034483,0.7959183673469388,0.15151515151515152,0.3275862068965517,0.7289719626168225
JUDGE,2,0.995,107,2,0,52,53,0.037037037037037035,1.0,0.0,0.962962962962963,0.07142857142857142
JUDGE,3,0.995,112,1,0,50,61,0.0196078431372549,1.0,0.0,0.9803921568627451,0.038461538461538464
JUDGE,4,0.995,112,13,0,28,71,0.3170731707317073,1.0,0.0,0.6829268292682926,0.48148148148148145
R,0,1.0,124,0,0,32,92,0.0,,0.0,1.0,
R,1,1.0,124,2,0,56,66,0.034482758620689655,1.0,0.0,0.9655172413793104,0.06666666666666667
R,2,1.0,107,35,0,19,53,0.6481481481481481,1.0,0.0,0.35185185185185186,0.7865168539325843
R,3,1.0,112,0,0,51,61,0.0,,0.0,1.0,
R,4,1.0,112,16,0,25,71,0.3902439024390244,1.0,0.0,0.6097560975609756,0.5614035087719299
SLM,0,0.975,124,0,0,32,92,0.0,,0.0,1.0,
SLM,1,0.975,124,0,1,58,65,0.0,0.0,0.015151515151515152,1.0,
SLM,2,0.975,107,1,0,53,53,0.018518518518518517,1.0,0.0,0.9814814814814815,0.03636363636363636
SLM,3,0.975,112,1,2,50,59,0.0196078431372549,0.3333333333333333,0.03278688524590164,0.9803921568627451,0.037037037037037035
SLM,4,0.975,112,1,1,40,70,0.024390243902439025,0.5,0.014084507042253521,0.975609756097561,0.046511627906976744
