config,concurrency,endpoint,rep,requests,ok_2xx,non2xx,errors,saturated,p50,p90,p97_5,p99,mean,rps,layer_calls_ok,layer_calls_failed
EMB,1,courses,1,1180,1180,0,0,0,46,61,96,129,50.15,19.67,1356,0
EMB,1,courses,2,1128,1128,0,0,0,48,63,93,177,52.55,18.8,1315,0
EMB,1,courses,3,1155,1155,0,0,0,47,61,83,165,51.32,19.25,1348,0
EMB,1,profile,1,956,956,0,0,0,57,70,93,148,62.06,15.94,1122,0
EMB,1,profile,2,955,955,0,0,0,56,71,116,192,62.19,15.92,1108,0
EMB,1,profile,3,907,907,0,0,0,59,75,102,160,65.51,15.12,1071,0
EMB,1,reviews,1,791,791,0,0,0,67,85,127,255,75.17,13.19,934,0
EMB,1,reviews,2,793,793,0,0,0,70,86,112,185,74.97,13.22,909,0
EMB,1,reviews,3,802,802,0,0,0,68,84,136,211,74.15,13.37,946,0
EMB,8,courses,1,1854,1854,0,0,0,244,295,412,554,257.34,30.9,2122,0
EMB,8,courses,2,1336,1336,0,0,0,275,352,1431,2731,357.9,22.27,1621,0
EMB,8,courses,3,1676,1676,0,0,0,272,309,444,600,284.99,27.94,1949,0
EMB,8,profile,1,1370,1370,0,0,0,329,391,550,783,347.66,22.84,1618,0
EMB,8,profile,2,1181,1181,0,0,0,356,491,1167,1374,404.46,19.69,1401,0
EMB,8,profile,3,1233,1233,0,0,0,355,441,787,1093,387.35,20.55,1474,0
EMB,8,reviews,1,1146,1146,0,0,0,398,445,656,865,416.88,19.11,1347,0
EMB,8,reviews,2,962,962,0,0,0,443,562,1084,2050,496.69,16.04,1138,0
EMB,8,reviews,3,764,764,0,0,0,463,993,2751,3227,627.43,12.74,957,0
HYB,1,courses,1,1135,1135,0,0,0,46,59,93,171,52.18,18.92,1360,0
HYB,1,courses,2,1233,1233,0,0,0,44,57,79,146,48,20.55,1430,0
HYB,1,courses,3,1152,1152,0,0,0,46,59,103,186,51.43,19.2,1332,0
HYB,1,profile,1,962,962,0,0,0,58,72,89,127,61.69,16.04,1107,0
HYB,1,profile,2,937,937,0,0,0,56,71,100,193,63.38,15.62,1095,0
HYB,1,profile,3,833,833,0,0,0,60,81,174,313,71.31,13.89,1013,0
HYB,1,reviews,1,893,893,0,0,0,63,73,94,187,66.53,14.89,1034,0
HYB,1,reviews,2,767,767,0,0,0,65,99,182,275,77.56,12.79,917,0
HYB,1,reviews,3,815,815,0,0,0,68,82,113,228,72.93,13.59,955,0
HYB,8,courses,1,1661,1661,0,0,0,267,338,453,620,287.6,27.69,1979,0
HYB,8,courses,2,1740,1740,0,0,0,249,359,553,604,274.53,29,1998,0
HYB,8,courses,3,2030,2030,0,0,0,227,255,347,472,235.28,33.84,2381,0
HYB,8,profile,1,1239,1239,0,0,0,349,432,787,1176,385.69,20.65,1433,0
